team	player	name	pos	carryinpercent	entriesper60	image	hex	sheet
COL	Matt-Duchene	Matt Duchene	F	83	24.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matt-Duchene	#8B2942	players
WAS	Alex-Ovechkin	Alex Ovechkin	F	82	21.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alex-Ovechkin	#CF132B	
TBL	Valteri-Filppula	Valteri Filppula	F	79	21.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Valteri-Filppula	#013E7D	
PIT	Evgeni-Malkin	Evgeni Malkin	F	79	26.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Evgeni-Malkin	#D1BD80	
TOR	Phil-Kessel	Phil Kessel	F	79	23.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Phil-Kessel	#003777	
CHI	Jonathan-Toews	Jonathan Toews	F	78	24.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jonathan-Toews	#E3263A	
WAS	Mikhail-Grabovski	Mikhail Grabovski	F	75	17.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Mikhail-Grabovski	#CF132B	
NJD	Jaromir-Jagr	Jaromir Jagr	F	74	20.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jaromir-Jagr	#E03A3E	
COL	Nathan-MacKinnon	Nathan MacKinnon	F	74	22.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nathan-MacKinnon	#8B2942	
PIT	Sidney-Crosby	Sidney Crosby	F	74	23.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Sidney-Crosby	#D1BD80	
OTT	Kyle-Turris	Kyle Turris	F	74	24.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Kyle-Turris	#E4173E	
MTL	David-Desharnais	David Desharnais	F	73	15.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=David-Desharnais	#BF2F38	
NYI	John-Tavares	John Tavares	F	73	22.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=John-Tavares	#F57D37	
BOS	Brad-Marchand	Brad Marchand	F	73	25.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brad-Marchand	#FFC429	
EDM	Taylor-Hall	Taylor Hall	F	73	27.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Taylor-Hall	#E66A20	
CHI	Patrick-Kane	Patrick Kane	F	72	30.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Patrick-Kane	#E3263A	
CHI	Marian-Hossa	Marian Hossa	F	72	19.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Marian-Hossa	#E3263A	
DET	Pavel-Datsyuk	Pavel Datsyuk	F	72	25.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Pavel-Datsyuk	#EC1F26	
CAR	Eric-Staal	Eric Staal	F	71	18.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Eric-Staal	#E03A3E	
OTT	Jason-Spezza	Jason Spezza	F	70	22.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jason-Spezza	#E4173E	
CAR	Alexander-Semin	Alexander Semin	F	70	17.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Alexander-Semin	#E03A3E	
STL	Vladimir-Tarasenko	Vladimir Tarasenko	F	70	18.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Vladimir-Tarasenko	#0546A9	
CHI	Patrick-Sharp	Patrick Sharp	F	69	23.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Patrick-Sharp	#E3263A	
NYI	Frans-Nielsen	Frans Nielsen	F	68	19.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Frans-Nielsen	#F57D36	
TBL	Tyler-Johnson	Tyler Johnson	F	68	18.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tyler-Johnson	#013E7D	
BUF	Ville-Leino	Ville Leino	F	68	17.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ville-Leino	#002E73	
TOR	Nazem-Kadri	Nazem Kadri	F	68	18.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nazem-Kadri	#003777	
TBL	Martin-St-Louis	Martin St. Louis	F	67	21.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Martin-St.-Louis	#013E7D	
DAL	Cody-Eakin	Cody Eakin	F	67	20.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Cody-Eakin	#006A4E	
CHI	Brandon-Saad	Brandon Saad	F	67	24.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Brandon-Saad	#E3263A	
PHI	Jakub-Voracek	Jakub Voracek	F	67	25.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jakub-Voracek	#F47940	
LAK	Anze-Kopitar	Anze Kopitar	F	67	21.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Anze-Kopitar	#AFB7BA	
WAS	Nicklas-Backstrom	Nicklas Backstrom	F	66	20.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nicklas-Backstrom	#CF132B	
DAL	Tyler-Seguin	Tyler Seguin	F	66	22.1	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tyler-Seguin	#006A4E	
DAL	Valeri-Nichushkin	Valeri Nichushkin	F	66	20.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Valeri-Nichushkin	#006A4E	
CAL	Michael-Backlund	Michael Backlund	F	65	22.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Michael-Backlund	#E03A3E	
BOS	David-Krejci	David Krejci	F	65	28.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=David-Krejci	#FFC427	
CAR	Jordan-Staal	Jordan Staal	F	65	20.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jordan-Staal	#E03A3E	
CLB	Ryan-Johansen	Ryan Johansen	F	64	20.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ryan-Johansen	#00285C	
BOS	Milan-Lucic	Milan Lucic	F	63	21.2	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Milan-Lucic	#FFC425	
BUF	Tyler-Ennis	Tyler Ennis	F	63	21.7	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tyler-Ennis	#002E63	
COL	Paul-Statsny	Paul Statsny	F	63	14.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Paul-Statsny	#8B2942	
FLO	Nick-Bjugstad	Nick Bjugstad	F	63	18.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nick-Bjugstad	#C8213F	
OTT	Clarke-Macarthur	Clarke Macarthur	F	63	18.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Clarke-Macarthur	#E4173E	
SJS	Logan-Couture	Logan Couture	F	63	20.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Logan-Couture	#05535D	
TBL	Teddy-Purcell	Teddy Purcell	F	63	22.0	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Teddy-Purcell	#013E7D	
TBL	Ondrej-Palat	Ondrej Palat	F	63	22.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Ondrej-Palat	#013E7D	
EDM	Jordan-Eberle	Jordan Eberle	F	62	24.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jordan-Eberle	#E66A20	
DAL	Jamie-Benn	Jamie Benn	F	62	25.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jamie-Benn	#006A4E	
BUF	Cody-Hodgson	Cody Hodgson	F	62	20.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Cody-Hodgson	#002E67	
CAR	Jeff-Skinner	Jeff Skinner	F	62	22.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Jeff-Skinner	#E03A3E	
COL	Gabriel-Landeskog	Gabriel Landeskog	F	62	24.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Gabriel-Landeskog	#8B2942	
NYR	Carl-Hagelin	Carl Hagelin	F	62	19.8	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Carl-Hagelin	#0161AB	
OTT	Bobby-Ryan	Bobby Ryan	F	62	22.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Bobby-Ryan	#E4173E	
SJS	Matthew-Nieto	Matthew Nieto	F	61	18.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matthew-Nieto	#05535D	
EDM	Nail-Yakupov	Nail Yakupov	F	61	18.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Nail-Yakupov	#E66A20	
NJD	Travis-Zajac	Travis Zajac	F	61	18.9	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Travis-Zajac	#E03A3E	
TOR	Tyler-Bozak	Tyler Bozak	F	61	11.4	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Tyler-Bozak	#003777	
ANA	Corey-Perry	Corey Perry	F	61	23.6	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Corey-Perry	#EF5228	
NSH	Colin-Wilson	Colin Wilson	F	61	21.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Colin-Wilson	#FDBB2F	
CAL	Matt-Stajan	Matt Stajan	F	61	18.5	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Matt-Stajan	#E03A3E	
NYR	Rick-Nash	Rick Nash	F	61	22.3	http://tsnimages.tsn.ca/ImageProvider/PlayerHeadshot?seoId=Rick-Nash	#0161AB	
