team	name	entriesper60	carryinpercent	playoffs	url	hex	image	sheet
Anaheim-Ducks	Anaheim Ducks	75.6	46.5	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#EF5225	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Anaheim-Ducks	team
Boston-Bruins	Boston Bruins	79.2	47.3	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#FFC422	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Boston-Bruins	
Buffalo-Sabres	Buffalo Sabres	71.3	42.9	No	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#002E62	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Buffalo-Sabres	
Calgary-Flames	Calgary Flames	72.5	47.0	No	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#E03A3E	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Calgary-Flames	
Carolina-Hurricanes	Carolina Hurricanes	74.5	47.1	No	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#E03A3E	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Carolina-Hurricanes	
Chicago-Blackhawks	Chicago Blackhawks	80.0	53.7	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#E3263A	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Chicago-Blackhawks	
Colorado-Avalanche	Colorado Avalanche	69.2	51.0	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#8B2942	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Colorado-Avalanche	
Columbus-Blue-Jackets	Columbus Blue Jackets	76.1	42.6	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#00285C	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Columbus-Blue-Jackets	
Dallas-Stars	Dallas Stars	76.9	51.8	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#006A4E	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Dallas-Stars	
Detroit-Red-Wings	Detroit Red Wings	76.3	45.6	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#EC1F26	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Detroit-Red-Wings	
Edmonton-Oilers	Edmonton Oilers	73.0	47.8	No	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#E66A20	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Edmonton-Oilers	
Florida-Panthers	Florida Panthers	74.0	44.7	No	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#C8213F	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Florida-Panthers	
Los-Angeles-Kings	Los Angeles Kings	76.7	43.0	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#AFB7BA	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Los-Angeles-Kings	
Minnesota-Wild	Minnesota Wild	73.4	42.6	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#025736	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Minnesota-Wild	
Montreal-Canadiens	Montreal Canadiens	73.0	45.6	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#BF2F38	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Montreal-Canadiens	
Nashville-Predators	Nashville Predators	74.0	41.7	No	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#FDBB2F	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=Nashville-Predators	
New-Jersey-Devils	New Jersey Devils	74.3	44.9	No	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#E03A3E	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=New-Jersey-Devils	
New-York-Islanders	New York Islanders	77.1	46.3	No	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#F57D31	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=New-York-Islanders	
New-York-Rangers	New York Rangers	72.9	44.8	Yes	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=	#0161AB	http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=New-York-Rangers	
